Name,Lab,Experiment,Required,Individual,Unit,Type,Notes
Distillation Solution _íÈí£ Simple,2031,4,750,30,mL,Solution,
Distillation Solution _íÈí£ Fractional,2031,5,1000,40,mL,Solution,
Glass Beads,2031,5,625,25,g,Equipment,
Copper Wire ,2031,5,125,5,g,Equipment,
t-butyl methyl ether (MTBE),2031,6,750,30,mL,Reagent,
Bezoic Acid and Biphenyl,2031,6,75,3,g,Mixture,
Sodium Hydroxide 1M,2031,6,400,16,mL,Solution,To prepare: 40 grams of NaOH dissolved in 1 liter of water.
Hydrochloric Acid (conc.),2031,6,125,5,mL,Reagent,
Sodium Hydroxide 2M,2031,7,500,20,mL,Solution,To prepare: 80 grams of NaOH dissolved in 1 liter of water.
Phenol,2031,7,52.5,2.1,g,Reagent,
Chloroacetic acid,2031,7,47.5,1.9,g,Reagent,
Hydrochloric Acid (conc.),2031,7,125,5,mL,Reagent,
t-butanol,2031,8,375,15,mL,Reagent,
Hydrochloric Acid (conc.),2031,8,125,5,mL,Reagent,
Sodium Bicarbonate (sat),2031,8,625,25,mL,Solution,To prepare: dissolve sodium bicarbonate in 1 liter of water until a saturated solution forms
Sodium Chloride (sat),2031,8,500,20,mL,Solution,To prepare: dissolve sodium chloride in 1 liter of water until a saturated solution forms
Calcium Chloride (anhydrous),2031,8,37.5,1.5,g,Reagent,
E-stilbene,2031,9,25,1,g,Reagent,
Acetic Acid (glacial),2031,9,500,20,mL,Reagent,
Pyridinium Perbromide,2031,9,50,2,g,Reagent,
Pennies,1009,1,60,5,none,Equipment,
Metal Rods or pieces,1009,1,120,10,none,Equipment,
Wooden Splints,1009,1,12,1,none,Disposable,
Calcium Chloride 0.5M,1009,1,60,5,mL,Solution,To prepare: dissolve sodium bicarbonate in 1 liter of water until a saturated solution forms
Sodium Carbonate 0.5M,1009,1,60,5,mL,Solution,To prepare: dissolve sodium bicarbonate in 1 liter of water until a saturated solution forms
Meter Sticks,1009,1,12,1,none,Equipment,
Barium Oxide,1009,2,24,2,g,Reagent,
Lead (IV) Oxide,1009,2,24,2,g,Reagent,
Wooden Splints,1009,2,24,2,,Equipment,
Potassium Chlorate,1009,2,60,5,g,Reagent,
Manganese Dioxide,1009,2,6,0.5,g,Reagent,
Sulfur ,1009,2,12,1,g,Reagent,
Oxygen Generator Apparatus,1009,2,12,1,none,Equipment,
Sodium Bicarbonate,1009,3,60,5,g,Reagent,
Hydrochloric Acid (conc.),1009,3,60,5,mL,Reagent,
Potassium Chlorate,1009,4,60,5,g,Reagent,
Manganese Dioxide,1009,4,6,0.5,g,Reagent,
Copper (II) sulfate pentahydrate,1009,4,60,5,g,Reagent,
Calcium Chloride (anhydrous),1009,4,12,1,g,Reagent,
Sodium Carbonate,1009,4,12,1,g,Reagent,
Lithium Chloride,1009,4,12,1,g,Reagent,
Sodium Chloride,1009,4,12,1,g,Reagent,
Potassium Dichromate,1009,4,12,1,g,Reagent,
Aluminum Sulfate,1009,4,12,1,g,Reagent,
Cobalt Chloride,1009,4,12,1,g,Reagent,
Nickel Sulfate,1009,4,12,1,g,Reagent,
Hydrogen generator apparatus,1009,5,12,1,none,Equipment,
"Zinc, granulated",1009,5,12,1,g,Reagent,
"Tin, granulated",1009,5,12,1,g,Reagent,
"Lead, granulated",1009,5,12,1,g,Reagent,
"Copper, granulated",1009,5,12,1,g,Reagent,
"Iron, granulated",1009,5,12,1,g,Reagent,
"Aluminum , granulated",1009,5,12,1,g,Reagent,
"Magnesium, granulated",1009,5,12,1,g,Reagent,
"Magnesium , ribbon",1009,5,12,1,g,Reagent,
"Zinc, dust",1009,5,12,1,g,Reagent,
Hydrochloric Acid (conc.),1009,5,60,5,g,Reagent,
Wood Splints,1009,5,12,1,g,Reagent,
Burets,1009,6,24,2,none,Equipment,
Sodium Hydroxide 0.2M,1009,6,600,50,mL,Solution,To prepare: dissolve 8 grams of sodium hydroxide in 1 liter of water.
Acetic Acid Solution 0.2M,1009,6,600,50,mL,Solution,To prepare: dissolve 8 grams of sodium hydroxide in 1 liter of water.
1% Phenolphthalein,1009,6,6,0.5,mL,Solution,To prepare: dissolve 10 grams phenolphthalein in 1 liter of water.
Burets,1009,6,24,2,none,Equipment,
Sodium Hydroxide 0.5M,1009,7,600,50,mL,Solution,To prepare: dissolve 20 grams of sodium hydroxide in 1 liter of water.
Hydrochloric Acid 0.5M,1009,7,600,50,mL,Solution,To prepare: dilute 42 mL of concentrated hydrochloric acid to 1 liter
Antacid Tablets,1009,7,12,1,none,Reagent,
1% Phenolphthalein,1009,7,6,0.5,mL,Solution,To prepare: dissolve 10 grams phenolphthalein in 1 liter of water.
Calorimeters,1009,8,12,1,none,Equipment,
Sodium Hydroxide 2.0M,1009,8,600,50,mL,Solution,To prepare: dissolve 80 grams of sodium hydroxide in 1 liter of water.
Hydrochloric Acid 2.0M,1009,8,600,50,mL,Solution,To prepare: dilute 165 mL of concentrated hydrochloric acid to 1 liter
Pinchcock Clamps,1009,9,12,1,none,Equipment,
Charles Law apparatus,1009,9,12,1,none,Equipment,
Manganese Dioxide,1009,10,6,0.5,g,Reagent,
Potassium Chlorate,1009,10,60,5,g,Reagent,
Oxygen experiment apparatus,1009,10,12,1,none,Equipment,
Magnesium turnings,1009,11,12,1,g,Reagent,
Hydrochloric Acid (conc.),1009,11,60,5,mL,Reagent,
Pneumatic trough,1009,11,12,1,none,Equipment,
Hydrogen generator apparatus,1009,11,12,1,none,Equipment,
Burets,1009,12,12,1,none,Equipment,
EDTA Solution 7.g g/L,1009,12,600,50,mL,Solution,To prepare: dissolve 7.9 grams of EDTA  in 1 liter of water
Copper (II) sulfate pentahydrate,1009,12,60,5,g,Reagent,
t-butanol,1010,1,300,25,mL,Reagent,
Colligative Properties Unknown Solution,1010,1,12,1,g,Solution,
Hydrochloric Acid 6M,1010,2,60,5,mL,Solution,To prepare: dilute 500 mL of concentrated hydrochloric acid to 1 liter
Group I Cations Unknown Solution,1010,2,60,5,mL,Solution,
Centrifuges,1010,2,12,1,,Equipment,
Potassium Chromate 0.2M,1010,2,24,2,mL,Solution,To prepare: dissolve 39 grams of potassium chromate in 1 liter of water.
Sulfuric Acid 3M,1010,2,24,2,mL,Solution,
Ammonium Hydroxide 15M,1010,2,24,2,mL,Reagent,
Nitric Acid (conc.),1010,2,24,2,mL,Reagent,
Group IV Cations Unknown Solution,1010,3,60,5,mL,Solution,
Ammonium Sulfate 0.2M,1010,3,24,2,mL,Solution,
Ammonium Oxolate 0.2M,1010,3,24,2,mL,Solution,
Sodium Hydroxide 8M,1010,3,60,5,mL,Solution,
Litmus Paper,1010,3,12,1,none,Reagent,
Chalk Pieces,1010,4,12,1,none,Equipment,
Colored Solutions,1010,4,60,5,mL,Solution,
Iron (III) Nitrate 0.2M,1010,5,120,10,mL,Solution,
Potassium Thiocyanate 0.002M,1010,5,12,1,mL,Solution,
Potassium Thiocyanate 0.2M,1010,5,12,1,mL,Solution,
Sodium Fluoride,1010,5,6,0.5,g,Reagent,
Spectronic 20,1010,5,12,1,none,Equipment,
Cobalt Chloride 0.01M (in alcohol),1010,5,120,10,mL,Solution,
Ethanol,1010,5,12,1,mL,Reagent,
Hydrochloric Acid (conc.),1010,5,12,1,mL,Reagent,
Silver Nitrate 0.02M,1010,5,12,1,mL,Solution,
Spectronic 20,1010,6,12,1,none,Equipment,
Copper (II) Standard,1010,6,300,25,mL,Solution,
Ammonium Hydroxide 7.5M,1010,6,120,10,mL,Solution,
Unknown Copper Salts,1010,6,12,1,g,Mixture,
Spectronic 20,1010,7,12,1,none,Equipment,
Crystal Violet Solution,1010,7,360,30,mL,Solution,
Sodium Hydroxide 0.5M,1010,7,600,50,mL,Solution,
Sodium Hydroxide 0.1M,1010,8,1200,100,mL,Solution,
Hydrochloric Acid 0.1M,1010,8,600,50,mL,Solution,
Acetic Acid 0.1M,1010,8,600,50,mL,Solution,
Universal Indicator,1010,8,12,1,mL,Reagent,
Calibration Buffer 4.0 (red),1010,8,120,10,mL,Consumable,
Calibration Buffer 7.0  (yellow),1010,8,120,10,mL,Consumable,
pH Meters,1010,8,12,1,none,Equipment,
pH Meters,1010,9,12,1,none,Equipment,
Acetic Acid 0.2M,1010,9,600,50,mL,Solution,
Sodium Acetate 0.2M,1010,9,600,50,mL,Solution,
Calibration Buffer 4.0 (red),1010,9,120,10,mL,Consumable,
Calibration Buffer 7.0  (yellow),1010,9,120,10,mL,Consumable,
Lead (II) Nitrate 0.001M,1010,10,600,50,mL,Solution,
Potassium Iodide 0.001M,1010,10,600,50,mL,Solution,
